Product	Count
311	51
312	50
314	51
317	80
318	80
319	130
320	125
321	125
322	124
323	51
325	50
326	50
332	50
341	59
342	59
343	58
344	58
345	58
346	58
347	57
348	57
349	57
351	84
352	84
355	42
356	101
357	101
358	50
359	24
360	24
361	24
362	24
363	24
364	24
365	24
366	23
367	23
368	23
369	23
370	23
371	23
372	23
373	23
374	23
375	30
376	30
377	30
378	30
379	29
380	29
381	29
382	20
383	20
384	20
385	20
386	20
387	20
388	20
389	20
390	20
391	20
392	20
393	20
394	19
395	19
396	19
397	19
402	51
403	44
404	44
405	44
406	44
407	44
408	42
409	42
410	22
411	22
412	22
413	22
414	21
415	21
416	21
417	21
418	21
419	21
420	21
421	21
422	34
423	34
424	34
425	34
426	34
427	33
428	33
429	33
430	33
431	33
432	33
433	33
434	33
435	33
436	32
437	32
438	21
439	21
440	21
441	21
442	21
443	21
444	21
445	21
446	21
447	21
448	21
449	20
450	20
451	20
452	20
453	20
454	20
455	20
456	20
457	20
458	20
459	20
460	20
461	11
462	51
463	15
464	15
465	15
466	15
467	15
468	14
469	14
470	14
471	14
472	14
473	14
474	14
475	14
476	15
477	15
478	15
479	15
480	15
481	15
482	15
483	15
484	15
485	15
486	15
487	15
488	15
489	15
490	100
491	101
492	63
493	63
494	63
495	63
496	63
497	51
504	51
505	50
506	51
507	102
508	102
509	40
510	92
511	92
512	91
513	101
523	102
524	102
525	51
526	51
527	51
528	50
530	51
535	42
679	83
707	1
708	1
709	1
710	1
711	1
712	1
713	1
714	1
715	1
716	1
841	1
842	1
843	1
844	1
845	1
846	1
847	1
848	1
849	1
850	1
851	1
852	1
853	1
854	1
855	1
856	1
857	1
858	1
859	1
860	1
861	1
862	1
863	1
864	1
865	3
866	2
867	1
868	1
869	1
870	1
871	1
872	1
873	1
874	1
875	1
876	1
877	1
878	1
879	1
880	1
881	1
882	1
883	1
884	1
907	50
908	61
909	61
910	71
911	71
912	71
913	61
914	40
915	40
916	39
921	50
922	36
923	36
928	89
929	89
930	89
931	86
932	86
933	71
934	71
935	102
936	102
937	51
938	90
939	90
940	42
941	51
948	50
952	50
